id,key,value,type
68143241,source,Yahoo,regular
68143241,highway,turning_circle,regular
68158960,ref,96,regular
68158960,highway,motorway_junction,regular
68169301,highway,traffic_signals,regular
68172347,highway,turning_circle,regular
68173689,highway,turning_circle,regular
68174011,highway,turning_circle,regular
68178021,highway,turning_circle,regular
68186796,highway,turning_circle,regular
68188869,highway,turning_circle,regular
68191425,highway,stop,regular
68191450,highway,traffic_signals,regular
68191965,highway,turning_circle,regular
68193190,source,Yahoo,regular
68193190,highway,turning_circle,regular
68195138,highway,turning_circle,regular
68195947,highway,turning_circle,regular
68198069,highway,turning_circle,regular
68198999,highway,turning_circle,regular
68201627,highway,traffic_signals,regular
68202767,highway,traffic_signals,regular
68202783,highway,turning_circle,regular
68206656,highway,traffic_signals,regular
68208070,highway,turning_circle,regular
68217886,highway,turning_circle,regular
68223961,highway,turning_circle,regular
68224253,highway,traffic_signals,regular
68225950,highway,turning_circle,regular
68226911,highway,turning_circle,regular
68227538,highway,turning_circle,regular
68228045,source,Yahoo,regular
68228045,highway,turning_circle,regular
68228301,highway,turning_circle,regular
68241928,highway,turning_circle,regular
68242225,highway,traffic_signals,regular
68242227,highway,stop,regular
68244170,highway,turning_circle,regular
68244296,highway,traffic_signals,regular
68255169,highway,turning_circle,regular
68262169,highway,turning_circle,regular
68263428,highway,turning_circle,regular
68264681,source,Yahoo,regular
68264681,highway,turning_circle,regular
68266678,source,Yahoo,regular
68266678,highway,turning_circle,regular
68267379,source,Yahoo,regular
68267379,highway,turning_circle,regular
68277534,source,Yahoo,regular
68277534,highway,turning_circle,regular
68277781,highway,turning_circle,regular
68279575,railway,level_crossing,regular
68279605,source,Yahoo,regular
68279605,highway,turning_circle,regular
68279684,highway,stop,regular
68281786,source,Yahoo,regular
68281786,highway,turning_circle,regular
68286973,highway,turning_circle,regular
68293719,highway,stop,regular
68295041,source,Yahoo,regular
68295041,highway,turning_circle,regular
68297361,highway,traffic_signals,regular
68297367,highway,traffic_signals,regular
68297386,highway,traffic_signals,regular
68299490,highway,turning_circle,regular
68302765,railway,level_crossing,regular
68303314,highway,turning_circle,regular
68307848,source,Yahoo,regular
68307848,highway,turning_circle,regular
68307851,source,Yahoo,regular
68307851,highway,turning_circle,regular
68307853,highway,turning_circle,regular
68307868,highway,turning_circle,regular
68308161,highway,turning_circle,regular
68310597,highway,turning_circle,regular
68311419,highway,turning_circle,regular
68314320,highway,stop,regular
68317348,highway,turning_circle,regular
68321760,highway,turning_circle,regular
68322210,highway,turning_circle,regular
68324156,highway,turning_circle,regular
68324167,highway,turning_circle,regular
68326233,highway,turning_circle,regular
68329866,highway,stop,regular
68334103,highway,traffic_signals,regular
68334395,highway,traffic_signals,regular
68334401,highway,traffic_signals,regular
68334426,highway,traffic_signals,regular
68334809,highway,traffic_signals,regular
68337927,highway,turning_circle,regular
68337979,highway,turning_circle,regular
68339596,highway,traffic_signals,regular
68341319,highway,turning_circle,regular
68342834,railway,level_crossing,regular
68345961,highway,turning_circle,regular
68352340,highway,stop,regular
68352864,highway,turning_circle,regular
68358223,highway,stop,regular
68359100,highway,turning_circle,regular
68362792,highway,traffic_signals,regular
68363327,highway,traffic_signals,regular
68368034,highway,turning_circle,regular
68369519,source,Yahoo,regular
68369519,highway,turning_circle,regular
68374253,highway,traffic_signals,regular
68374544,highway,turning_circle,regular
68384025,railway,level_crossing,regular
68385383,highway,turning_circle,regular
68390709,highway,turning_circle,regular
68392672,highway,turning_circle,regular
68394188,highway,turning_circle,regular
68409584,source,Yahoo,regular
68409584,highway,turning_circle,regular
68414147,highway,turning_circle,regular
68415014,highway,turning_circle,regular
68417257,highway,turning_circle,regular
68418560,highway,turning_circle,regular
68428508,highway,turning_circle,regular
68434137,highway,turning_circle,regular
68435999,source,Yahoo,regular
68435999,highway,turning_circle,regular
68438782,highway,turning_circle,regular
68439902,highway,turning_circle,regular
68439928,source,Yahoo,regular
68439928,highway,turning_circle,regular
68440293,highway,stop,regular
68441946,highway,turning_circle,regular
68447021,highway,turning_circle,regular
68449681,highway,turning_circle,regular
68451971,highway,turning_circle,regular
68454540,source,Yahoo,regular
68454540,highway,turning_circle,regular
68455246,source,Yahoo,regular
68455246,highway,turning_circle,regular
68458705,highway,turning_circle,regular
68459961,highway,turning_circle,regular
68460985,highway,turning_circle,regular
68901820,highway,turning_circle,regular
68917469,highway,turning_circle,regular
68917473,highway,turning_circle,regular
68919604,highway,turning_circle,regular
68921107,highway,turning_circle,regular
68923682,highway,turning_circle,regular
68924810,highway,turning_circle,regular
68926069,highway,turning_circle,regular
68926595,highway,turning_circle,regular
68930350,highway,turning_circle,regular
68930829,highway,turning_circle,regular
68931189,highway,turning_circle,regular
68937818,highway,turning_circle,regular
68946492,highway,turning_circle,regular
68947652,highway,turning_circle,regular
68950990,highway,turning_circle,regular
68955751,highway,turning_circle,regular
68956176,highway,turning_circle,regular
68957762,highway,turning_circle,regular
68960528,highway,turning_circle,regular
68961525,highway,turning_circle,regular
68961587,highway,turning_circle,regular
68965223,highway,turning_circle,regular
68979082,highway,turning_circle,regular
68983165,highway,stop,regular
68988837,highway,turning_circle,regular
68993508,highway,traffic_signals,regular
69003333,highway,turning_circle,regular
69003345,highway,turning_circle,regular
69004205,highway,turning_circle,regular
69004940,highway,turning_circle,regular
69005071,highway,turning_circle,regular
69012633,highway,turning_circle,regular
69015586,highway,turning_circle,regular
69016767,highway,turning_circle,regular
69020975,highway,turning_circle,regular
69021212,highway,turning_circle,regular
69024888,highway,turning_circle,regular
69025987,highway,turning_circle,regular
69028718,highway,turning_circle,regular
69029713,highway,turning_circle,regular
69030547,highway,turning_circle,regular
69032347,highway,turning_circle,regular
69034899,highway,turning_circle,regular
69043681,highway,turning_circle,regular
69045726,highway,turning_circle,regular
69049511,highway,turning_circle,regular
69049564,highway,turning_circle,regular
69057569,highway,turning_circle,regular
69061479,highway,turning_circle,regular
69062001,highway,turning_circle,regular
69064536,highway,traffic_signals,regular
69065776,highway,turning_circle,regular
69068041,highway,turning_circle,regular
69068784,highway,turning_circle,regular
69072212,highway,turning_circle,regular
